Date,o
2018-07-05,"{'h': None, 'l': None, 'v': 39.844639005503794}"
2018-07-06,"{'h': None, 'l': None, 'v': 40.644252575749896}"
2018-07-07,"{'h': None, 'l': None, 'v': 41.30724737723216}"
2018-07-08,"{'h': None, 'l': None, 'v': 42.4108881008015}"
2018-07-09,"{'h': None, 'l': None, 'v': 42.09079229460489}"
2018-07-10,"{'h': None, 'l': None, 'v': 40.77897086490677}"
2018-07-11,"{'h': None, 'l': None, 'v': 39.89107319125855}"
2018-07-12,"{'h': None, 'l': None, 'v': 38.47393986151254}"
2018-07-13,"{'h': None, 'l': None, 'v': 37.758053361970774}"
2018-07-14,"{'h': None, 'l': None, 'v': 37.73145036088482}"
2018-07-15,"{'h': None, 'l': None, 'v': 38.2524266349609}"
2018-07-16,"{'h': None, 'l': None, 'v': 39.47615275861748}"
2018-07-17,"{'h': None, 'l': None, 'v': 41.54280196648524}"
2018-07-18,"{'h': None, 'l': None, 'v': 44.75287232336406}"
2018-07-19,"{'h': None, 'l': None, 'v': 44.734213545947746}"
2018-07-20,"{'h': None, 'l': None, 'v': 45.17078159796294}"
2018-07-21,"{'h': None, 'l': None, 'v': 45.32621674401667}"
2018-07-22,"{'h': None, 'l': None, 'v': 45.94218613695895}"
2018-07-23,"{'h': None, 'l': None, 'v': 47.93239236624588}"
2018-07-24,"{'h': None, 'l': None, 'v': 51.70762931906853}"
2018-07-25,"{'h': None, 'l': None, 'v': 53.9676626460713}"
2018-07-26,"{'h': None, 'l': None, 'v': 53.63704101660637}"
2018-07-27,"{'h': None, 'l': None, 'v': 52.55049049735853}"
2018-07-28,"{'h': None, 'l': None, 'v': 53.59310977102391}"
2018-07-29,"{'h': None, 'l': None, 'v': 53.77574553416357}"
2018-07-30,"{'h': None, 'l': None, 'v': 53.382517780853306}"
2018-07-31,"{'h': None, 'l': None, 'v': 52.376491904289445}"
2018-08-01,"{'h': None, 'l': None, 'v': 51.32214255334399}"
2018-08-02,"{'h': None, 'l': None, 'v': 51.9436441022899}"
2018-08-03,"{'h': None, 'l': None, 'v': 50.24383422160349}"
2018-08-04,"{'h': None, 'l': None, 'v': 49.08168808595679}"
2018-08-05,"{'h': None, 'l': None, 'v': 47.38006901195761}"
2018-08-06,"{'h': None, 'l': None, 'v': 47.25282025876699}"
2018-08-07,"{'h': None, 'l': None, 'v': 47.26312203229642}"
2018-08-08,"{'h': None, 'l': None, 'v': 43.915015658296}"
2018-08-09,"{'h': None, 'l': None, 'v': 43.734514294772495}"
2018-08-10,"{'h': None, 'l': None, 'v': 43.44416633187228}"
2018-08-11,"{'h': None, 'l': None, 'v': 42.352575432344665}"
2018-08-12,"{'h': None, 'l': None, 'v': 43.16916089867505}"
2018-08-13,"{'h': None, 'l': None, 'v': 43.276956025424035}"
2018-08-14,"{'h': None, 'l': None, 'v': 41.527913714803105}"
2018-08-15,"{'h': None, 'l': None, 'v': 43.68761704197528}"
2018-08-16,"{'h': None, 'l': None, 'v': 43.5231020264151}"
2018-08-17,"{'h': None, 'l': None, 'v': 40.48543945582593}"
2018-08-18,"{'h': None, 'l': None, 'v': 39.383540457505745}"
2018-08-19,"{'h': None, 'l': None, 'v': 38.95910201243389}"
2018-08-20,"{'h': None, 'l': None, 'v': 39.18635224130777}"
2018-08-21,"{'h': None, 'l': None, 'v': 38.64435890549555}"
2018-08-22,"{'h': None, 'l': None, 'v': 38.87888608491715}"
2018-08-23,"{'h': None, 'l': None, 'v': 38.21436004245963}"
2018-08-24,"{'h': None, 'l': None, 'v': 38.92949911567231}"
