,Date,GTREND_BTC
815,2021-03-26,71
816,2021-03-27,72
817,2021-03-28,62
818,2021-03-29,68
819,2021-03-30,72
820,2021-03-31,73
821,2021-04-01,74
822,2021-04-02,52
823,2021-04-03,43
824,2021-04-04,43
825,2021-04-05,44
826,2021-04-06,48
827,2021-04-07,46
828,2021-04-08,47
829,2021-04-09,40
830,2021-04-10,47
831,2021-04-11,44
832,2021-04-12,46
833,2021-04-13,67
834,2021-04-14,84
835,2021-04-15,65
836,2021-04-16,83
837,2021-04-17,61
838,2021-04-18,97
839,2021-04-19,86
840,2021-04-20,74
841,2021-04-21,57
842,2021-04-22,68
843,2021-04-23,100
844,2021-04-24,68
845,2021-04-25,55
846,2021-04-26,69
847,2021-04-27,63
848,2021-04-28,56
849,2021-04-29,50
850,2021-04-30,52
851,2021-05-01,24
852,2021-05-02,23
853,2021-05-03,28
854,2021-05-04,31
855,2021-05-05,31
856,2021-05-06,30
857,2021-05-07,27
858,2021-05-08,30
859,2021-05-09,30
860,2021-05-10,31
861,2021-05-11,29
862,2021-05-12,32
863,2021-05-13,75
864,2021-05-14,41
865,2021-05-15,32
866,2021-05-16,36
867,2021-05-17,55
868,2021-05-18,40
869,2021-05-19,100
870,2021-05-20,70
871,2021-05-21,55
872,2021-05-22,45
873,2021-05-23,54
874,2021-05-24,54
875,2021-05-25,41
876,2021-05-26,36
877,2021-05-27,32
878,2021-05-28,34
879,2021-05-29,31
880,2021-05-30,31
881,2021-05-31,28
882,2021-06-01,61
883,2021-06-02,57
884,2021-06-03,57
885,2021-06-04,65
886,2021-06-05,61
887,2021-06-06,64
888,2021-06-07,61
889,2021-06-08,90
890,2021-06-09,80
891,2021-06-10,74
892,2021-06-11,61
893,2021-06-12,46
894,2021-06-13,55
895,2021-06-14,67
896,2021-06-15,55
897,2021-06-16,51
898,2021-06-17,50
899,2021-06-18,48
900,2021-06-19,39
901,2021-06-20,48
902,2021-06-21,74
903,2021-06-22,100
904,2021-06-23,68
905,2021-06-24,54
906,2021-06-25,57
907,2021-06-26,46
908,2021-06-27,46
909,2021-06-28,50
910,2021-06-29,49
911,2021-06-30,43
912,2021-07-01,56
913,2021-07-02,55
914,2021-07-03,48
915,2021-07-04,50
916,2021-07-05,51
917,2021-07-06,54
918,2021-07-07,51
919,2021-07-08,57
920,2021-07-09,50
921,2021-07-10,38
922,2021-07-11,46
