time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-08-26T00:00:00.0000000Z,2019-08-27T00:00:00.0000000Z,2019-08-26T00:00:00.0240000Z,2019-08-26T23:59:58.5850000Z,10142.69,10604.0,10137.93,10372.25,41687.511599,405316
2019-08-25T00:00:00.0000000Z,2019-08-26T00:00:00.0000000Z,2019-08-25T00:00:00.3340000Z,2019-08-25T23:59:59.9850000Z,10134.61,10333.0,9906.97,10142.69,26271.657398,289956
2019-08-24T00:00:00.0000000Z,2019-08-25T00:00:00.0000000Z,2019-08-24T00:00:00.1220000Z,2019-08-24T23:59:59.9110000Z,10388.16,10419.42,9890.0,10134.35,27692.456844,313227
2019-08-23T00:00:00.0000000Z,2019-08-24T00:00:00.0000000Z,2019-08-23T00:00:00.1200000Z,2019-08-23T23:59:59.9280000Z,10099.9,10445.0,10019.79,10389.55,27543.187149,326718
2019-08-22T00:00:00.0000000Z,2019-08-23T00:00:00.0000000Z,2019-08-22T00:00:00.3860000Z,2019-08-22T23:59:59.4130000Z,10140.82,10242.0,9762.0,10099.88,34059.631536,401146
2019-08-21T00:00:00.0000000Z,2019-08-22T00:00:00.0000000Z,2019-08-21T00:00:00.0340000Z,2019-08-21T23:59:59.8820000Z,10760.51,10804.13,9858.0,10142.57,47355.719282,458814
2019-08-20T00:00:00.0000000Z,2019-08-21T00:00:00.0000000Z,2019-08-20T00:00:00.2270000Z,2019-08-20T23:59:59.2390000Z,10914.73,10949.96,10560.0,10760.51,32298.921679,305065
2019-08-19T00:00:00.0000000Z,2019-08-20T00:00:00.0000000Z,2019-08-19T00:00:01.1460000Z,2019-08-19T23:59:58.9750000Z,10306.17,10930.0,10258.6,10915.54,37243.319217,337022
2019-08-18T00:00:00.0000000Z,2019-08-19T00:00:00.0000000Z,2019-08-18T00:00:01.0350000Z,2019-08-18T23:59:59.9850000Z,10216.05,10500.0,10080.0,10306.78,24085.395172,265705
2019-08-17T00:00:00.0000000Z,2019-08-18T00:00:00.0000000Z,2019-08-17T00:00:00.2540000Z,2019-08-17T23:59:59.8330000Z,10331.15,10465.14,10000.0,10216.02,29000.581201,332795
