Date,o
2016-09-26,"{'deposit': 2.16510482690967, 'inhouse': 3.13253365128533, 'inter': 0.21207415668908702, 'total': 8.08086962690967, 'withdrawal': 2.57115699202559}"
2016-09-27,"{'deposit': 2.18787645579528, 'inhouse': 2.7557042895058, 'inter': 0.201582976950436, 'total': 7.72516924579528, 'withdrawal': 2.5800055235437602}"
2016-09-28,"{'deposit': 2.02057120385202, 'inhouse': 2.7780343286915, 'inter': 0.19543081936561602, 'total': 8.52702176385202, 'withdrawal': 3.53298541194289}"
2016-09-29,"{'deposit': 2.24497992208744, 'inhouse': 3.39317375964895, 'inter': 0.297895539995689, 'total': 10.7074190820874, 'withdrawal': 4.77136986035536}"
2016-09-30,"{'deposit': 2.33008535600148, 'inhouse': 3.18978964807352, 'inter': 0.18302611821848502, 'total': 9.22410505600149, 'withdrawal': 3.52120393370799}"
2016-10-01,"{'deposit': 2.07880962989413, 'inhouse': 2.44473462272834, 'inter': 0.206789035597605, 'total': 8.45971120989413, 'withdrawal': 3.72937792167405}"
2016-10-02,"{'deposit': 1.74875633261719, 'inhouse': 3.15473915535633, 'inter': 0.14102090358573902, 'total': 7.69583624261719, 'withdrawal': 2.65131985105793}"
2016-10-03,"{'deposit': 2.49359011972938, 'inhouse': 3.90055677133119, 'inter': 0.19755565584697501, 'total': 10.8842923397294, 'withdrawal': 4.29258979282184}"
2016-10-04,"{'deposit': 2.66075004053305, 'inhouse': 3.73524275975828, 'inter': 0.14734332560062202, 'total': 9.264311480533049, 'withdrawal': 2.7209753546411}"
2016-10-05,"{'deposit': 2.6858842066365503, 'inhouse': 4.00433846905735, 'inter': 0.18541789045973703, 'total': 9.79414393663655, 'withdrawal': 2.91850337048291}"
2016-10-06,"{'deposit': 2.74886029392894, 'inhouse': 3.60934516961737, 'inter': 0.15684362145589, 'total': 9.45913256392894, 'withdrawal': 2.94408347892674}"
2016-10-07,"{'deposit': 2.84152452427518, 'inhouse': 3.9056216321679003, 'inter': 0.164141898998544, 'total': 9.91456830427518, 'withdrawal': 3.00328024883356}"
2016-10-08,"{'deposit': 2.33101868434822, 'inhouse': 3.79524990191462, 'inter': 0.17400127070197302, 'total': 9.28231740434822, 'withdrawal': 2.9820475473834103}"
2016-10-09,"{'deposit': 1.9483214684785501, 'inhouse': 3.22335991098233, 'inter': 0.14833309971087902, 'total': 7.91696574847855, 'withdrawal': 2.59695126930679}"
2016-10-10,"{'deposit': 2.40736852307013, 'inhouse': 2.90478344323127, 'inter': 0.26751296398088303, 'total': 9.45720524307013, 'withdrawal': 3.87754031278784}"
2016-10-11,"{'deposit': 3.1387177712314, 'inhouse': 2.82884828700319, 'inter': 0.263010579881343, 'total': 9.3571010512314, 'withdrawal': 3.12652441311546}"
2016-10-12,"{'deposit': 2.71263959791283, 'inhouse': 3.01394749363772, 'inter': 0.177956695645721, 'total': 8.63470928791283, 'withdrawal': 2.73016550071656}"
2016-10-13,"{'deposit': 2.57938689306012, 'inhouse': 3.21869491511101, 'inter': 0.19569012570919503, 'total': 8.62043550306012, 'withdrawal': 2.6266635691798}"
2016-10-14,"{'deposit': 2.69582592598449, 'inhouse': 3.8924328756446798, 'inter': 0.18413369743360403, 'total': 9.64932627598449, 'withdrawal': 2.87693377692172}"
2016-10-15,"{'deposit': 2.22472333964904, 'inhouse': 2.49394619428034, 'inter': 0.203524069597731, 'total': 8.31147350964905, 'withdrawal': 3.38927990612193}"
2016-10-16,"{'deposit': 2.21422426845406, 'inhouse': 2.00425288984215, 'inter': 0.127099616121041, 'total': 7.20787851845406, 'withdrawal': 2.86230174403681}"
2016-10-17,"{'deposit': 2.7281409433526598, 'inhouse': 4.43741424152843, 'inter': 0.224728751177229, 'total': 11.0793176833527, 'withdrawal': 3.68903374729435}"
2016-10-18,"{'deposit': 2.58741656508222, 'inhouse': 2.88058698031122, 'inter': 0.303537355606713, 'total': 10.2699477650822, 'withdrawal': 4.49840686408207}"
2016-10-19,"{'deposit': 2.00547437580229, 'inhouse': 3.25038200641929, 'inter': 0.40869962895495404, 'total': 12.8888266358023, 'withdrawal': 7.22427062462576}"
2016-10-20,"{'deposit': 3.1890153895643, 'inhouse': 3.82565596176164, 'inter': 0.45062777846196106, 'total': 17.9192088995643, 'withdrawal': 10.4539097697764}"
2016-10-21,"{'deposit': 2.37782162527981, 'inhouse': 3.07253273481866, 'inter': 0.20382917624385602, 'total': 8.48814083527981, 'withdrawal': 2.83395729893749}"
2016-10-22,"{'deposit': 2.19728973502419, 'inhouse': 2.99225861070021, 'inter': 0.351015076749969, 'total': 12.7672700450242, 'withdrawal': 7.22670662254982}"
2016-10-23,"{'deposit': 2.23595260599348, 'inhouse': 4.73348852326622, 'inter': 0.39845828787979104, 'total': 20.6984163259935, 'withdrawal': 13.330516908854}"
2016-10-24,"{'deposit': 2.45988574105096, 'inhouse': 4.69954233186228, 'inter': 0.49702006787642405, 'total': 21.787855751051, 'withdrawal': 14.1314076102613}"
2016-10-25,"{'deposit': 2.8377457201117497, 'inhouse': 8.26224109725587, 'inter': 1.6872456583958, 'total': 34.6138216601117, 'withdrawal': 21.8265891843483}"
2016-10-26,"{'deposit': 3.03985845827488, 'inhouse': 9.40033708200135, 'inter': 2.8907363073629497, 'total': 54.4379922182749, 'withdrawal': 39.1070603706357}"
2016-10-27,"{'deposit': 4.06653274131413, 'inhouse': 5.27172287163123, 'inter': 0.527570427473955, 'total': 18.4719364213141, 'withdrawal': 8.60611038089482}"
2016-10-28,"{'deposit': 3.23798370205156, 'inhouse': 4.01202876299928, 'inter': 0.46450904333291804, 'total': 11.3652917020516, 'withdrawal': 3.6507701936678}"
2016-10-29,"{'deposit': 3.1824988911553698, 'inhouse': 3.04754515345975, 'inter': 0.49949035634662203, 'total': 10.2464373311554, 'withdrawal': 3.51690293019363}"
2016-10-30,"{'deposit': 2.5046041829409402, 'inhouse': 3.54789772290821, 'inter': 0.33588127364248405, 'total': 9.33958303294094, 'withdrawal': 2.9511998534493102}"
